case,rule,min_dJ11,min_dJ12,min_dJ21,min_dJ22,min_weak_agent1,min_weak_agent2,min_gamma_metric,min_omega_metric
nonweak,nearest-BR,-6.0,-4.0,-6.0,-8.0,-4.0,-6.0,-12.0,-6.0
all-payoff-nondecreasing,nearest-BR,0.00018159971904993988,0.027133387715391845,0.027133387715391845,0.00018159971904993988,0.027133387715391845,0.027133387715391845,0.0,0.00018159971904993988
weak-not-all,nearest-BR,-2.2499997726469583,0.08103696370807564,0.0945128577062466,-2.2499997726469583,0.08103696370807564,0.0945128577062466,0.0539035759926838,0.08103696370807564
weak-Pareto-trap,scaled-own-gradient,0.9636838077976082,2.6529050162103016,-85.39397024427183,-11.644242279904557,2.6529050162103016,0.029604256374395566,-12.67228131131111,0.029604256374395566
