experiment,p_x0_max_abs,budget_identity_max_error,min_own_curvature_margin,min_branch_det,min_pair_det,min_triple_residual,budget_max,budget_min,budget_final,omitted_budget_final,target_distance_final,strong_domain_grid_max,validation_level
INC-0,5.684341886080802e-14,4.547473508864641e-13,0.6719999999999999,0.9134527499999997,0.834,2.3518997198382174,0.0,-186.8301812589978,-67.397132050543,-67.39713205054295,0.015176406673151278,1233.942430125789,omega=0 boundary: exact identities and sampled trajectory; positive-lambda theorem not invoked
INC-omega,0.0,1.4551915228366852e-11,2.0,6.999999999999999,6.999999999999999,5.116094029175276,0.0,-12874.075387523566,-12874.075387523559,-15031.101323251336,1.3736783554996683,70.17946877284703,"algebraic theorem hypotheses checked; invariant-set inclusion not proved, sampled trajectory only"
