case,label,expected_stability,slope_order,s11,s12,s21,s22,det_min,det_max,n0,n1,n2,unstable_active_rays,saddle_other
1,stable-CW,stable,"s_1^1 > s_2^1 > 0 > s_2^2 > s_1^2",0.8,0.3,-0.6,-0.2,1.06,1.48,0,4,0,0,0
2,stable-real,stable,"s_1^2 > s_1^1 > s_2^1 > s_2^2 > 0",0.6,0.4,0.8,0.2,0.52,0.92,2,0,2,0,0
3,stable-CCW,stable,"s_1^2 > s_2^2 > 0 > s_1^1 > s_2^1",-0.3,-0.7,0.8,0.5,1.15,1.56,0,4,0,0,0
4,stable-mixed,stable,"s_1^1 > s_2^1 > s_2^2 > 0 > s_1^2",0.8,0.5,-0.4,0.3,0.76,1.32,1,2,1,0,0
5,unstable-saddle,unstable,"s_1^2 > s_2^2 > s_2^1 > s_1^1 > 0",1.1,1.3,2,1.6,-1.6,-0.76,0,0,0,2,2
