case,label,p1,p2,q1,q2,c1,c2,d1,d2,det_min,det_max,stability,rank_zero_x1,rank_zero_x2,other_intersection_x1,other_intersection_x2,assumption1,assumption2,theorem311_applies
1,stable-CW,0.8,0.3,-0.6,-0.2,0,0,1,-1,1.06,1.48,asymptotically stable,0,0,5,-2,1,1,1
2,stable-real,0.6,0.4,0.8,0.2,0,0,1,-1,0.52,0.92,asymptotically stable,0,0,-3.33333333333,-1.66666666667,1,1,1
3,stable-CCW,-0.3,-0.7,0.8,0.5,0,0,1,-1,1.15,1.56,asymptotically stable,0,0,-6.66666666667,-4.33333333333,1,1,1
4,stable-mixed,0.8,0.5,-0.4,0.3,0,0,1,-1,0.76,1.32,asymptotically stable,0,0,2.85714285714,-0.142857142857,1,1,1
5,unstable-saddle,1.1,1.3,2,1.6,0,0,1,-1,-1.6,-0.76,unstable,0,0,-5,-9,1,1,1
