j1,j2,max_decay_eigenvalue,min_positivity_eigenvalue
1,1,-42.27604281492861,2.244081191279308
1,2,-20.621042946906787,8.912986961663897
2,1,-17.29339446897292,2.73331565225619
2,2,-12.66906600203395,7.051077007970995
